,Dissections
Cluster282,"Human A32: 5.24%,  Human MTG: 5.10%,  Human M1C: 4.82%,  Human A29-A30: 4.71%,  Human MEC: 4.39%,  Human CA1C-CA3C: 3.34%,  Human A44-A45: 3.03%,  Human A43: 2.97%,  Human A40: 2.87%,  Human A25: 2.83%,  Human A38: 2.73%,  Human ITG: 2.71%,  Human TH-TL: 2.61%,  Human S1C: 2.56%,  Human Idg: 2.55%,  Human V2: 2.47%,  Human A46: 2.40%,  Human TF: 2.33%,  Human A13: 2.31%,  Human A23: 2.24%,  Human A5-A7: 2.13%,  Human CA1U-CA2U-CA3U: 2.09%,  Human ACC: 2.05%,  Human A19: 1.95%,  Human STG: 1.93%,  Human CA4C-DGC: 1.91%,  Human Ig: 1.90%,  Human Pro: 1.86%,  Human FI: 1.72%,  Human A1C: 1.58%,  Human V1C: 1.43%,  Human LEC: 1.39%,  Human Cla: 1.31%,  Human AON: 1.18%,  Human CA1R-CA2R-CA3R: 1.17%,  Human Sub: 1.16%,  Human Pir: 1.09%,  Human A35-A36: 0.91%,  Human BM: 0.78%,  Human DGU-CA4Upy: 0.76%,  Human HTHso: 0.71%,  Human CA1-2R: 0.69%,  Human A14: 0.63%,  Human CEN: 0.40%,  Human SEP: 0.36%,  Human CA2U-CA3U: 0.34%,  Human CMN: 0.30%,  Human CoA: 0.30%,  Human DGR-CA4Rpy: 0.29%,  Human BL: 0.26%,  Human SI: 0.22%,  Human CA1: 0.11%,  Human La: 0.11%,  Human BNST: 0.10%,  Human Pu: 0.10%,  Human MG: 0.06%,  Human CA3R: 0.05%,  Human GPe: 0.05%,  Human DGR-CA4: 0.04%,  Human ETH: 0.04%,  Human LG: 0.04%,  Human PAG-DR: 0.04%,  Human HTHtub: 0.04%,  Human Pul: 0.03%,  Human SC: 0.03%,  Human CM-Pf: 0.02%,  Human VA: 0.02%,  Human MD: 0.02%,  Human HTHpo-HTHso: 0.01%,  Human IO: 0.01%,  Human PTR: 0.01%,  Human ANC: 0.01%,  Human HTHma: 0.01%,  Human HTHpo: 0.01%,  Human CaB: 0.01%,  Human SN: 0.01%,  Human MoSR: 0.01%,  Human HTHso-HTHtub: 0.01%,  Human IC: 0.01%"
Cluster283,"Human MTG: 5.20%,  Human A32: 4.54%,  Human MEC: 4.10%,  Human M1C: 3.68%,  Human A29-A30: 3.54%,  Human Idg: 3.41%,  Human A25: 3.39%,  Human A40: 3.31%,  Human A38: 3.29%,  Human ITG: 3.05%,  Human TH-TL: 3.01%,  Human A44-A45: 2.69%,  Human FI: 2.64%,  Human A43: 2.59%,  Human A13: 2.56%,  Human CA1U-CA2U-CA3U: 2.46%,  Human Pir: 2.37%,  Human LEC: 2.36%,  Human ACC: 2.23%,  Human A23: 2.01%,  Human A46: 1.92%,  Human S1C: 1.90%,  Human STG: 1.89%,  Human CA1C-CA3C: 1.83%,  Human TF: 1.77%,  Human Ig: 1.72%,  Human A1C: 1.70%,  Human AON: 1.52%,  Human A35-A36: 1.47%,  Human A5-A7: 1.47%,  Human Cla: 1.46%,  Human A19: 1.45%,  Human V2: 1.40%,  Human CMN: 1.35%,  Human Pro: 1.34%,  Human Sub: 1.26%,  Human CA4C-DGC: 1.11%,  Human BM: 0.98%,  Human SEP: 0.93%,  Human V1C: 0.79%,  Human CA1R-CA2R-CA3R: 0.77%,  Human HTHso: 0.77%,  Human CEN: 0.74%,  Human A14: 0.73%,  Human BL: 0.71%,  Human DGU-CA4Upy: 0.61%,  Human CoA: 0.51%,  Human La: 0.50%,  Human CA1-2R: 0.46%,  Human CA2U-CA3U: 0.29%,  Human SI: 0.27%,  Human BNST: 0.23%,  Human DGR-CA4Rpy: 0.21%,  Human CA1: 0.19%,  Human SC: 0.16%,  Human ANC: 0.15%,  Human HTHtub: 0.11%,  Human LG: 0.09%,  Human DGR-CA4: 0.08%,  Human HTHpo-HTHso: 0.07%,  Human MG: 0.07%,  Human CA3R: 0.07%,  Human NAC: 0.07%,  Human HTHpo: 0.06%,  Human Pul: 0.06%,  Human Pu: 0.06%,  Human CaB: 0.05%,  Human GPe: 0.04%,  Human MN: 0.04%,  Human PAG-DR: 0.04%,  Human PnEN: 0.03%,  Human SN: 0.02%,  Human CM-Pf: 0.02%,  Human PB: 0.01%,  Human PTR: 0.01%,  Human LP: 0.01%,  Human RN: 0.01%,  Human MoAN: 0.01%,  Human HTHma: 0.01%,  Human HTHma-HTHtub: 0.01%,  Human SpC: 0.01%"
Cluster284,"Human M1C: 5.93%,  Human MEC: 5.76%,  Human MTG: 4.91%,  Human LEC: 3.33%,  Human A38: 2.84%,  Human A29-A30: 2.71%,  Human A25: 2.70%,  Human A43: 2.58%,  Human FI: 2.55%,  Human A44-A45: 2.51%,  Human Pir: 2.46%,  Human CMN: 2.45%,  Human BL: 2.45%,  Human ACC: 2.44%,  Human A13: 2.32%,  Human A40: 2.29%,  Human A32: 2.25%,  Human CA1U-CA2U-CA3U: 2.25%,  Human Idg: 2.17%,  Human Cla: 2.11%,  Human TH-TL: 2.11%,  Human ITG: 2.09%,  Human A46: 1.91%,  Human S1C: 1.90%,  Human A23: 1.77%,  Human CA1C-CA3C: 1.73%,  Human TF: 1.72%,  Human A35-A36: 1.71%,  Human Sub: 1.64%,  Human A5-A7: 1.48%,  Human Ig: 1.45%,  Human STG: 1.43%,  Human La: 1.43%,  Human CEN: 1.43%,  Human A19: 1.39%,  Human BM: 1.38%,  Human V2: 1.22%,  Human AON: 1.21%,  Human SEP: 1.09%,  Human A1C: 1.08%,  Human Pro: 0.98%,  Human CA4C-DGC: 0.85%,  Human A14: 0.83%,  Human CA1R-CA2R-CA3R: 0.81%,  Human HTHso: 0.66%,  Human V1C: 0.64%,  Human CA1-2R: 0.56%,  Human CA1: 0.53%,  Human DGU-CA4Upy: 0.46%,  Human BNST: 0.45%,  Human CoA: 0.35%,  Human ANC: 0.29%,  Human SI: 0.26%,  Human Pu: 0.25%,  Human CA2U-CA3U: 0.23%,  Human LG: 0.19%,  Human CA3R: 0.15%,  Human SC: 0.14%,  Human DGR-CA4Rpy: 0.12%,  Human CaB: 0.12%,  Human HTHpo: 0.11%,  Human Pul: 0.11%,  Human HTHpo-HTHso: 0.10%,  Human NAC: 0.09%,  Human HTHtub: 0.07%,  Human HTHso-HTHtub: 0.07%,  Human MG: 0.05%,  Human PAG-DR: 0.05%,  Human VA: 0.05%,  Human GPe: 0.04%,  Human LP: 0.04%,  Human HTHma-HTHtub: 0.03%,  Human MN: 0.03%,  Human SN: 0.02%,  Human HTHma: 0.01%,  Human MoSR: 0.01%,  Human PnAN: 0.01%,  Human IC: 0.01%,  Human ETH: 0.01%,  Human DTg: 0.01%,  Human PTR: 0.01%,  Human VLN: 0.01%"
Cluster285,"Human M1C: 7.66%,  Human CA1C-CA3C: 5.25%,  Human CA1U-CA2U-CA3U: 4.22%,  Human MEC: 4.16%,  Human CMN: 3.90%,  Human MTG: 3.75%,  Human CA4C-DGC: 3.52%,  Human LEC: 2.75%,  Human Pir: 2.75%,  Human S1C: 2.45%,  Human A29-A30: 2.43%,  Human A43: 2.35%,  Human Idg: 2.28%,  Human CA1R-CA2R-CA3R: 2.22%,  Human TH-TL: 2.09%,  Human A44-A45: 2.03%,  Human BL: 1.98%,  Human A38: 1.98%,  Human A32: 1.90%,  Human A13: 1.77%,  Human A25: 1.62%,  Human Cla: 1.62%,  Human CA3R: 1.62%,  Human A35-A36: 1.62%,  Human FI: 1.60%,  Human Sub: 1.58%,  Human A46: 1.56%,  Human A40: 1.51%,  Human Ig: 1.51%,  Human CEN: 1.30%,  Human A1C: 1.28%,  Human A23: 1.26%,  Human ACC: 1.22%,  Human TF: 1.19%,  Human ITG: 1.11%,  Human DGU-CA4Upy: 1.11%,  Human STG: 1.11%,  Human Pro: 1.09%,  Human A5-A7: 1.00%,  Human A19: 0.98%,  Human BM: 0.94%,  Human CA1: 0.90%,  Human V2: 0.87%,  Human SEP: 0.85%,  Human AON: 0.81%,  Human La: 0.77%,  Human V1C: 0.70%,  Human DGR-CA4Rpy: 0.68%,  Human CA1-2R: 0.60%,  Human CA2U-CA3U: 0.53%,  Human A14: 0.47%,  Human HTHso: 0.45%,  Human CoA: 0.43%,  Human SI: 0.34%,  Human ANC: 0.32%,  Human Pul: 0.19%,  Human HTHpo-HTHso: 0.19%,  Human BNST: 0.19%,  Human SC: 0.17%,  Human LG: 0.17%,  Human VA: 0.15%,  Human SN: 0.13%,  Human Pu: 0.13%,  Human DGR-CA4: 0.11%,  Human CaB: 0.09%,  Human HTHtub: 0.09%,  Human HTHso-HTHtub: 0.06%,  Human HTHpo: 0.06%,  Human PAG-DR: 0.04%,  Human MG: 0.04%,  Human NAC: 0.04%,  Human MN: 0.04%,  Human ETH: 0.04%,  Human HTHma-HTHtub: 0.02%,  Human LP: 0.02%"
Cluster286,"Human MEC: 5.76%,  Human M1C: 5.51%,  Human MTG: 4.33%,  Human A32: 3.64%,  Human A29-A30: 3.31%,  Human CA1U-CA2U-CA3U: 2.97%,  Human CMN: 2.77%,  Human Pir: 2.77%,  Human A44-A45: 2.64%,  Human CA4C-DGC: 2.46%,  Human A13: 2.36%,  Human A40: 2.33%,  Human LEC: 2.23%,  Human S1C: 2.16%,  Human ITG: 2.15%,  Human CEN: 2.12%,  Human A43: 2.12%,  Human CA1C-CA3C: 2.10%,  Human A46: 2.02%,  Human Idg: 1.99%,  Human A25: 1.89%,  Human A38: 1.87%,  Human A23: 1.80%,  Human Ig: 1.78%,  Human BL: 1.76%,  Human STG: 1.76%,  Human TH-TL: 1.69%,  Human FI: 1.67%,  Human A5-A7: 1.65%,  Human A1C: 1.60%,  Human BM: 1.47%,  Human CA1-2R: 1.37%,  Human A19: 1.33%,  Human V2: 1.33%,  Human La: 1.30%,  Human CA1R-CA2R-CA3R: 1.24%,  Human A35-A36: 1.24%,  Human TF: 1.21%,  Human Sub: 1.17%,  Human Pro: 1.17%,  Human ACC: 1.13%,  Human Cla: 1.05%,  Human DGU-CA4Upy: 0.88%,  Human AON: 0.83%,  Human V1C: 0.78%,  Human HTHso: 0.75%,  Human DGR-CA4Rpy: 0.72%,  Human A14: 0.56%,  Human LG: 0.53%,  Human SEP: 0.51%,  Human CoA: 0.49%,  Human CA2U-CA3U: 0.33%,  Human SI: 0.33%,  Human CA1: 0.31%,  Human BNST: 0.31%,  Human MG: 0.26%,  Human Pul: 0.26%,  Human HTHtub: 0.24%,  Human SC: 0.22%,  Human CA3R: 0.19%,  Human SN: 0.16%,  Human Pu: 0.13%,  Human HTHpo: 0.10%,  Human ANC: 0.09%,  Human HTHso-HTHtub: 0.08%,  Human HTHpo-HTHso: 0.08%,  Human CaB: 0.07%,  Human MD: 0.07%,  Human DGR-CA4: 0.07%,  Human MN: 0.05%,  Human PAG-DR: 0.04%,  Human VA: 0.04%,  Human ETH: 0.04%,  Human CM-Pf: 0.03%,  Human GPe: 0.03%,  Human HTHma: 0.03%,  Human HTHma-HTHtub: 0.03%,  Human IC: 0.03%,  Human NAC: 0.02%,  Human VPL: 0.02%,  Human MoSR: 0.02%,  Human MD-Re: 0.01%,  Human LP: 0.01%,  Human PB: 0.01%,  Human GPi: 0.01%,  Human SpC: 0.01%,  Human PTR: 0.01%,  Human MoAN: 0.01%,  Human STH: 0.01%,  Human VLN: 0.01%,  Human DTg: 0.01%"
Cluster287,"Human M1C: 6.20%,  Human MEC: 5.77%,  Human BL: 4.07%,  Human MTG: 3.84%,  Human CEN: 3.82%,  Human CMN: 3.37%,  Human LG: 3.35%,  Human La: 3.34%,  Human CA1U-CA2U-CA3U: 2.94%,  Human Pir: 2.91%,  Human CA4C-DGC: 2.79%,  Human CA1C-CA3C: 2.47%,  Human LEC: 2.32%,  Human BM: 2.06%,  Human A29-A30: 1.91%,  Human Cla: 1.83%,  Human A44-A45: 1.76%,  Human A35-A36: 1.72%,  Human A40: 1.63%,  Human SEP: 1.61%,  Human S1C: 1.45%,  Human A23: 1.44%,  Human A32: 1.43%,  Human Idg: 1.39%,  Human A43: 1.39%,  Human Pul: 1.39%,  Human A38: 1.38%,  Human A46: 1.34%,  Human CA1R-CA2R-CA3R: 1.34%,  Human ITG: 1.34%,  Human Ig: 1.32%,  Human A5-A7: 1.29%,  Human A1C: 1.23%,  Human CA1-2R: 1.22%,  Human DGU-CA4Upy: 1.17%,  Human FI: 1.15%,  Human TH-TL: 1.14%,  Human STG: 1.10%,  Human MG: 1.09%,  Human A19: 1.01%,  Human Sub: 0.96%,  Human TF: 0.96%,  Human V2: 0.96%,  Human A13: 0.93%,  Human DGR-CA4Rpy: 0.80%,  Human ACC: 0.76%,  Human A25: 0.70%,  Human Pro: 0.61%,  Human ANC: 0.56%,  Human V1C: 0.55%,  Human CA3R: 0.50%,  Human AON: 0.44%,  Human BNST: 0.42%,  Human CoA: 0.41%,  Human HTHso: 0.40%,  Human SI: 0.39%,  Human SN: 0.38%,  Human SC: 0.33%,  Human HTHtub: 0.32%,  Human CA2U-CA3U: 0.30%,  Human LP: 0.29%,  Human CA1: 0.28%,  Human Pu: 0.23%,  Human DGR-CA4: 0.22%,  Human A14: 0.20%,  Human ETH: 0.17%,  Human HTHpo: 0.15%,  Human HTHso-HTHtub: 0.13%,  Human PTR: 0.13%,  Human VLN: 0.13%,  Human VPL: 0.12%,  Human VA: 0.10%,  Human MD: 0.09%,  Human HTHpo-HTHso: 0.09%,  Human CaB: 0.09%,  Human GPe: 0.09%,  Human NAC: 0.06%,  Human HTHma: 0.04%,  Human STH: 0.04%,  Human IC: 0.04%,  Human PAG-DR: 0.04%,  Human MN: 0.03%,  Human SN-RN: 0.03%,  Human GPi: 0.03%,  Human CM-Pf: 0.02%,  Human MoSR: 0.02%,  Human LP-VPL: 0.02%,  Human MD-Re: 0.02%,  Human PnEN: 0.02%,  Human HTHma-HTHtub: 0.02%,  Human PB: 0.02%,  Human PAG: 0.01%,  Human PN: 0.01%,  Human IO: 0.01%,  Human MoRF-MoEN: 0.01%,  Human DTg: 0.01%"
Cluster288,"Human M1C: 7.33%,  Human MTG: 5.02%,  Human MEC: 4.66%,  Human BL: 4.27%,  Human La: 3.45%,  Human LEC: 2.71%,  Human Cla: 2.66%,  Human A38: 2.48%,  Human A40: 2.35%,  Human S1C: 2.24%,  Human FI: 2.22%,  Human A29-A30: 2.22%,  Human CEN: 2.20%,  Human A44-A45: 2.18%,  Human ITG: 2.09%,  Human Idg: 2.09%,  Human A43: 2.08%,  Human TH-TL: 2.05%,  Human A13: 1.98%,  Human TF: 1.93%,  Human A25: 1.85%,  Human A1C: 1.81%,  Human STG: 1.81%,  Human A23: 1.80%,  Human BM: 1.78%,  Human A5-A7: 1.78%,  Human Ig: 1.78%,  Human Pir: 1.72%,  Human ACC: 1.67%,  Human A46: 1.66%,  Human V2: 1.49%,  Human A19: 1.46%,  Human Sub: 1.41%,  Human CMN: 1.38%,  Human A35-A36: 1.38%,  Human A32: 1.24%,  Human CA1U-CA2U-CA3U: 1.17%,  Human SEP: 1.08%,  Human AON: 1.08%,  Human CA4C-DGC: 1.07%,  Human V1C: 0.99%,  Human Pul: 0.98%,  Human Pro: 0.95%,  Human LG: 0.79%,  Human CA1R-CA2R-CA3R: 0.63%,  Human CA1C-CA3C: 0.55%,  Human A14: 0.53%,  Human HTHso: 0.49%,  Human DGU-CA4Upy: 0.42%,  Human BNST: 0.41%,  Human ANC: 0.41%,  Human LP: 0.37%,  Human SI: 0.34%,  Human MG: 0.31%,  Human DGR-CA4Rpy: 0.29%,  Human CoA: 0.23%,  Human Pu: 0.22%,  Human VLN: 0.22%,  Human DGR-CA4: 0.17%,  Human CA3R: 0.17%,  Human HTHpo: 0.17%,  Human CA1-2R: 0.16%,  Human HTHpo-HTHso: 0.14%,  Human CA1: 0.13%,  Human SC: 0.13%,  Human SN: 0.12%,  Human CA2U-CA3U: 0.10%,  Human VPL: 0.10%,  Human GPe: 0.10%,  Human MD: 0.08%,  Human CaB: 0.08%,  Human HTHso-HTHtub: 0.08%,  Human HTHma-HTHtub: 0.06%,  Human HTHtub: 0.06%,  Human ETH: 0.05%,  Human VA: 0.05%,  Human PTR: 0.04%,  Human GPi: 0.04%,  Human NAC: 0.04%,  Human CM-Pf: 0.04%,  Human PAG-DR: 0.04%,  Human MD-Re: 0.03%,  Human STH: 0.02%,  Human SN-RN: 0.01%,  Human IC: 0.01%,  Human PN: 0.01%,  Human LP-VPL: 0.01%,  Human PnRF: 0.00%,  Human MoAN: 0.00%,  Human RN: 0.00%"
Cluster289,"Human M1C: 7.04%,  Human MTG: 6.56%,  Human MEC: 4.80%,  Human A29-A30: 3.73%,  Human A40: 3.65%,  Human ITG: 3.18%,  Human A38: 2.97%,  Human A5-A7: 2.89%,  Human Idg: 2.68%,  Human TH-TL: 2.61%,  Human TF: 2.61%,  Human S1C: 2.53%,  Human A1C: 2.51%,  Human STG: 2.37%,  Human A43: 2.31%,  Human LEC: 2.30%,  Human A23: 2.25%,  Human A44-A45: 2.25%,  Human Ig: 2.09%,  Human A19: 2.06%,  Human A46: 2.02%,  Human V2: 2.02%,  Human Cla: 1.95%,  Human Sub: 1.86%,  Human CA1U-CA2U-CA3U: 1.81%,  Human A32: 1.80%,  Human ACC: 1.79%,  Human A25: 1.61%,  Human Pir: 1.59%,  Human FI: 1.56%,  Human Pro: 1.41%,  Human A13: 1.41%,  Human BL: 1.40%,  Human CEN: 1.19%,  Human La: 1.19%,  Human A35-A36: 1.17%,  Human CA1C-CA3C: 1.16%,  Human BM: 1.05%,  Human V1C: 0.94%,  Human AON: 0.81%,  Human CA4C-DGC: 0.77%,  Human CA1R-CA2R-CA3R: 0.75%,  Human CMN: 0.64%,  Human A14: 0.54%,  Human HTHso: 0.41%,  Human SEP: 0.41%,  Human DGU-CA4Upy: 0.36%,  Human CA1-2R: 0.31%,  Human DGR-CA4Rpy: 0.27%,  Human SI: 0.25%,  Human CA2U-CA3U: 0.21%,  Human CoA: 0.21%,  Human Pul: 0.20%,  Human SC: 0.17%,  Human CA1: 0.16%,  Human LG: 0.15%,  Human CA3R: 0.15%,  Human Pu: 0.13%,  Human BNST: 0.11%,  Human LP: 0.10%,  Human CaB: 0.08%,  Human ANC: 0.07%,  Human DGR-CA4: 0.06%,  Human VLN: 0.06%,  Human HTHtub: 0.04%,  Human GPe: 0.03%,  Human VA: 0.03%,  Human SN: 0.03%,  Human HTHpo: 0.03%,  Human HTHso-HTHtub: 0.03%,  Human PTR: 0.02%,  Human HTHpo-HTHso: 0.02%,  Human NAC: 0.01%,  Human SN-RN: 0.01%,  Human ETH: 0.01%,  Human MN: 0.01%,  Human HTHma-HTHtub: 0.01%,  Human GPi: 0.01%"
Cluster290,"Human MTG: 7.14%,  Human M1C: 5.45%,  Human A40: 3.94%,  Human A29-A30: 3.63%,  Human ITG: 3.48%,  Human MEC: 3.36%,  Human A5-A7: 3.24%,  Human STG: 3.04%,  Human S1C: 2.85%,  Human TF: 2.76%,  Human TH-TL: 2.67%,  Human V2: 2.67%,  Human A32: 2.66%,  Human A43: 2.63%,  Human A19: 2.58%,  Human A38: 2.52%,  Human A1C: 2.44%,  Human A23: 2.44%,  Human A44-A45: 2.30%,  Human Idg: 2.30%,  Human CA1U-CA2U-CA3U: 2.15%,  Human Ig: 2.03%,  Human A46: 1.93%,  Human Sub: 1.83%,  Human Pro: 1.72%,  Human V1C: 1.71%,  Human A13: 1.66%,  Human LEC: 1.64%,  Human A25: 1.62%,  Human Cla: 1.61%,  Human CA1C-CA3C: 1.39%,  Human ACC: 1.37%,  Human A35-A36: 1.36%,  Human Pir: 1.35%,  Human BL: 1.08%,  Human La: 1.08%,  Human BM: 1.07%,  Human FI: 1.04%,  Human CEN: 0.96%,  Human CA4C-DGC: 0.96%,  Human AON: 0.88%,  Human CA1R-CA2R-CA3R: 0.70%,  Human CMN: 0.70%,  Human A14: 0.56%,  Human HTHso: 0.37%,  Human CA1-2R: 0.35%,  Human SEP: 0.33%,  Human DGU-CA4Upy: 0.33%,  Human CoA: 0.27%,  Human DGR-CA4Rpy: 0.26%,  Human CA2U-CA3U: 0.20%,  Human Pu: 0.17%,  Human CA1: 0.16%,  Human CA3R: 0.15%,  Human SI: 0.15%,  Human SC: 0.14%,  Human LG: 0.12%,  Human Pul: 0.07%,  Human DGR-CA4: 0.06%,  Human BNST: 0.06%,  Human CaB: 0.04%,  Human HTHtub: 0.04%,  Human ANC: 0.02%,  Human HTHpo-HTHso: 0.02%,  Human PAG-DR: 0.02%,  Human LP: 0.02%,  Human VA: 0.01%,  Human MG: 0.01%,  Human VLN: 0.01%,  Human HTHso-HTHtub: 0.01%,  Human MN: 0.01%,  Human CM: 0.01%,  Human GPe: 0.01%,  Human HTHpo: 0.01%,  Human SN: 0.00%,  Human STH: 0.00%,  Human PAG: 0.00%,  Human NAC: 0.00%,  Human VPL: 0.00%,  Human MoAN: 0.00%,  Human CM-Pf: 0.00%,  Human DTg: 0.00%,  Human MD: 0.00%,  Human IC: 0.00%"
Cluster291,"Human MTG: 6.34%,  Human M1C: 5.18%,  Human MEC: 4.57%,  Human CA1U-CA2U-CA3U: 3.18%,  Human Idg: 3.03%,  Human CA1C-CA3C: 2.81%,  Human ITG: 2.77%,  Human A38: 2.68%,  Human A40: 2.66%,  Human TH-TL: 2.57%,  Human A29-A30: 2.50%,  Human LEC: 2.46%,  Human A43: 2.35%,  Human A23: 2.21%,  Human A5-A7: 2.16%,  Human FI: 2.12%,  Human Pir: 2.12%,  Human A13: 2.09%,  Human Ig: 2.09%,  Human A32: 2.07%,  Human A44-A45: 2.06%,  Human CA4C-DGC: 1.87%,  Human A25: 1.86%,  Human STG: 1.83%,  Human V2: 1.81%,  Human TF: 1.81%,  Human CMN: 1.76%,  Human Pro: 1.74%,  Human A19: 1.69%,  Human A1C: 1.67%,  Human S1C: 1.64%,  Human BM: 1.60%,  Human Sub: 1.55%,  Human ACC: 1.52%,  Human A35-A36: 1.42%,  Human CA1R-CA2R-CA3R: 1.31%,  Human CEN: 1.27%,  Human A46: 1.22%,  Human CA1-2R: 1.17%,  Human BL: 1.17%,  Human AON: 1.14%,  Human Cla: 1.14%,  Human V1C: 1.09%,  Human La: 0.69%,  Human A14: 0.63%,  Human CA2U-CA3U: 0.59%,  Human SEP: 0.59%,  Human DGU-CA4Upy: 0.56%,  Human HTHso: 0.55%,  Human CoA: 0.48%,  Human CA1: 0.47%,  Human DGR-CA4Rpy: 0.39%,  Human CA3R: 0.35%,  Human SI: 0.28%,  Human SC: 0.16%,  Human BNST: 0.15%,  Human HTHtub: 0.12%,  Human ANC: 0.11%,  Human Pu: 0.10%,  Human LG: 0.07%,  Human DGR-CA4: 0.06%,  Human Pul: 0.06%,  Human HTHpo-HTHso: 0.05%,  Human MN: 0.03%,  Human MG: 0.03%,  Human HTHma-HTHtub: 0.02%,  Human VA: 0.02%,  Human HTHpo: 0.02%,  Human NAC: 0.02%,  Human PAG-DR: 0.02%,  Human SN: 0.02%,  Human GPe: 0.02%,  Human LP: 0.02%,  Human MD: 0.01%,  Human MoAN: 0.01%,  Human PnEN: 0.01%,  Human CM-Pf: 0.01%,  Human VLN: 0.01%"
Cluster292,"Human MTG: 6.95%,  Human M1C: 6.09%,  Human A29-A30: 4.28%,  Human A40: 3.73%,  Human ITG: 3.43%,  Human V2: 3.10%,  Human A38: 2.95%,  Human A44-A45: 2.92%,  Human A5-A7: 2.92%,  Human A32: 2.80%,  Human MEC: 2.77%,  Human S1C: 2.77%,  Human A19: 2.69%,  Human TH-TL: 2.64%,  Human A23: 2.60%,  Human A43: 2.53%,  Human Pro: 2.51%,  Human STG: 2.39%,  Human A46: 2.38%,  Human TF: 2.38%,  Human A25: 2.36%,  Human Idg: 2.34%,  Human A1C: 2.23%,  Human Ig: 2.21%,  Human V1C: 2.19%,  Human A13: 1.96%,  Human Cla: 1.70%,  Human CA4C-DGC: 1.41%,  Human FI: 1.41%,  Human Sub: 1.38%,  Human LEC: 1.33%,  Human Pir: 1.31%,  Human CA1C-CA3C: 1.31%,  Human ACC: 1.20%,  Human BM: 1.11%,  Human A35-A36: 1.05%,  Human CA1U-CA2U-CA3U: 1.01%,  Human AON: 0.96%,  Human A14: 0.71%,  Human CA1R-CA2R-CA3R: 0.60%,  Human CEN: 0.52%,  Human SEP: 0.51%,  Human La: 0.47%,  Human CMN: 0.45%,  Human DGU-CA4Upy: 0.45%,  Human HTHso: 0.41%,  Human DGR-CA4Rpy: 0.39%,  Human CA1-2R: 0.34%,  Human BL: 0.29%,  Human CA2U-CA3U: 0.28%,  Human CoA: 0.17%,  Human SI: 0.16%,  Human Pu: 0.16%,  Human SC: 0.15%,  Human LG: 0.14%,  Human DGR-CA4: 0.08%,  Human HTHtub: 0.06%,  Human BNST: 0.06%,  Human CA1: 0.05%,  Human CA3R: 0.05%,  Human PAG-DR: 0.04%,  Human ANC: 0.02%,  Human LP: 0.02%,  Human CaB: 0.02%,  Human HTHso-HTHtub: 0.02%,  Human HTHma-HTHtub: 0.02%,  Human RN: 0.02%,  Human Pul: 0.02%,  Human MG: 0.01%,  Human NAC: 0.01%,  Human GPe: 0.01%,  Human MD: 0.01%,  Human VLN: 0.01%,  Human SN: 0.01%"
Cluster293,"Human MTG: 5.05%,  Human MEC: 5.01%,  Human M1C: 4.25%,  Human CA1U-CA2U-CA3U: 3.36%,  Human CA1C-CA3C: 3.27%,  Human A29-A30: 2.97%,  Human LEC: 2.93%,  Human A38: 2.79%,  Human ITG: 2.66%,  Human Cla: 2.33%,  Human FI: 2.23%,  Human A25: 2.22%,  Human Sub: 2.21%,  Human Pir: 2.21%,  Human A43: 2.19%,  Human S1C: 2.13%,  Human A40: 2.08%,  Human TH-TL: 2.06%,  Human Idg: 2.01%,  Human TF: 1.96%,  Human A23: 1.90%,  Human BL: 1.88%,  Human A32: 1.85%,  Human A44-A45: 1.84%,  Human A5-A7: 1.81%,  Human A13: 1.77%,  Human STG: 1.72%,  Human ACC: 1.62%,  Human A46: 1.61%,  Human CEN: 1.60%,  Human A19: 1.59%,  Human CA4C-DGC: 1.57%,  Human Ig: 1.55%,  Human BM: 1.52%,  Human CA1R-CA2R-CA3R: 1.49%,  Human A1C: 1.48%,  Human CMN: 1.45%,  Human V2: 1.45%,  Human Pro: 1.41%,  Human La: 1.40%,  Human A35-A36: 1.36%,  Human AON: 1.16%,  Human SEP: 1.02%,  Human V1C: 0.89%,  Human HTHso: 0.69%,  Human CA3R: 0.68%,  Human CA1: 0.59%,  Human DGU-CA4Upy: 0.58%,  Human A14: 0.56%,  Human CA2U-CA3U: 0.46%,  Human CA1-2R: 0.42%,  Human Pu: 0.37%,  Human SI: 0.36%,  Human CoA: 0.33%,  Human BNST: 0.32%,  Human DGR-CA4Rpy: 0.31%,  Human CaB: 0.21%,  Human VA: 0.18%,  Human LG: 0.14%,  Human ANC: 0.12%,  Human SC: 0.11%,  Human DGR-CA4: 0.10%,  Human NAC: 0.09%,  Human GPe: 0.08%,  Human Pul: 0.08%,  Human PAG-DR: 0.06%,  Human HTHpo-HTHso: 0.06%,  Human LP: 0.03%,  Human SN: 0.02%,  Human VPL: 0.02%,  Human HTHtub: 0.02%,  Human HTHso-HTHtub: 0.02%,  Human HTHpo: 0.02%,  Human VLN: 0.01%,  Human HTHma-HTHtub: 0.01%,  Human MD: 0.00%,  Human HTHma: 0.00%,  Human STH: 0.00%,  Human SN-RN: 0.00%,  Human MG: 0.00%,  Human CM-Pf: 0.00%,  Human IC: 0.00%,  Human LP-VPL: 0.00%,  Human GPi: 0.00%"
